F.I.Sh,ijtimoiy holati,ijtimoiy qatlami,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,davomat
xgxnd,yolg'iz,3,2,4,3,2,2,72
hnsos,yolg'iz,4,2,2,2,2,3,57
qaaps,chin yetim,3,4,2,4,2,4,61
zpuoz,yolg'iz,4,4,2,2,4,4,68
dmlsv,temir daftar,4,2,3,4,3,2,27
stvsj,temir daftar,3,3,3,4,2,3,8
kfbjp,yoshlar daftari,2,2,4,4,4,3,72
tpftb,boquvchisini yo'qotgan,2,4,2,3,2,4,32
eaiqg,temir daftar,2,4,2,4,3,3,54
jeclc,yolg'iz,3,3,3,2,2,3,37
afujq,chin yetim,3,3,2,2,3,3,68
xlfxq,yoshlar daftari,4,3,2,2,3,3,48
dihfe,chin yetim,2,4,4,2,4,2,10
bqzoh,chin yetim,4,3,2,3,4,4,71
cthcs,ijtimoiy ximoyaga muhtoj oila restor,2,2,3,2,4,4,28
wekfx,boquvchisini yo'qotgan,2,3,3,3,2,3,74
lvkai,temir daftar,3,4,3,2,4,2,44
xxxzw,chin yetim,4,2,4,2,2,3,47
zagcl,chin yetim,2,4,2,4,3,2,28
tfucf,yoshlar daftari,4,2,2,3,4,2,12
vjjcy,yolg'iz,4,3,2,2,4,3,30
bhocp,oliali,2,4,2,3,4,2,48
teuam,yolg'iz,3,3,4,4,4,4,65
tbhfx,boquvchisini yo'qotgan,3,2,4,4,4,2,70
shnhy,yolg'iz,3,3,4,3,3,3,57
qdian,ijtimoiy ximoyaga muhtoj oila restor,4,4,2,3,4,3,50
gdyqh,boquvchisini yo'qotgan,2,3,4,2,4,3,88
qfrin,boquvchisini yo'qotgan,4,3,3,2,2,3,58
mfrif,ijtimoiy ximoyaga muhtoj oila restor,2,4,2,3,3,4,76
hehia,yolg'iz,4,3,3,3,3,4,59
sxpyd,oliali,3,4,4,4,2,2,91
txnac,ijtimoiy ximoyaga muhtoj oila restor,3,3,2,4,3,4,21
xygna,chin yetim,2,4,3,3,2,3,87
xzkct,boquvchisini yo'qotgan,3,2,3,2,2,4,49
lixni,yoshlar daftari,3,3,2,2,3,2,64
thtqd,chin yetim,3,4,3,2,2,2,45
kanmf,ijtimoiy ximoyaga muhtoj oila restor,3,3,2,2,3,2,30
bihov,oliali,4,2,3,4,3,3,99
nydnx,yolg'iz,3,4,4,3,4,2,31
cyluf,temir daftar,2,4,2,4,2,3,17
vquko,yolg'iz,3,2,4,3,4,2,89
nynhy,oliali,2,3,3,4,4,3,23
acprw,chin yetim,3,2,4,2,3,2,81
vbtxp,boquvchisini yo'qotgan,3,3,4,4,2,3,55
ftfeq,ijtimoiy ximoyaga muhtoj oila restor,4,3,3,4,3,4,38
loehc,chin yetim,4,3,4,4,2,4,1
onwpx,yolg'iz,4,4,3,2,2,4,88
lftzz,yolg'iz,2,4,4,4,2,2,76
ajqoo,yolg'iz,4,2,2,4,4,3,79
igaxr,chin yetim,4,4,3,4,2,2,49
uvjww,yolg'iz,2,2,3,2,3,3,75
qenmh,temir daftar,4,4,2,3,3,3,93
ellmt,yolg'iz,4,2,4,4,2,2,22
xptdy,chin yetim,3,3,4,2,2,3,89
cywzu,ijtimoiy ximoyaga muhtoj oila restor,4,3,4,2,3,3,65
atlvk,yolg'iz,4,3,4,2,4,2,67
aeoim,yoshlar daftari,4,4,3,4,2,4,41
vnmtj,boquvchisini yo'qotgan,3,4,4,4,4,3,57
wtsci,oliali,4,3,4,2,2,2,7
hucmj,boquvchisini yo'qotgan,4,2,3,2,4,3,91
xldsp,boquvchisini yo'qotgan,4,4,2,2,4,4,55
eivgn,oliali,3,2,2,3,2,4,8
ojvss,chin yetim,2,3,2,3,4,2,46
rjqli,boquvchisini yo'qotgan,2,4,3,4,2,2,98
lrtst,boquvchisini yo'qotgan,4,4,3,2,4,2,70
tjeag,temir daftar,4,2,3,3,4,3,57
ovpke,ijtimoiy ximoyaga muhtoj oila restor,3,4,2,3,4,3,43
bdnij,chin yetim,3,3,3,2,2,3,35
odivm,ijtimoiy ximoyaga muhtoj oila restor,2,3,2,3,2,3,42
dzvuw,oliali,4,4,3,3,3,3,97
uhqjt,yoshlar daftari,4,4,4,4,4,3,79
driga,temir daftar,2,3,4,3,3,4,23
wzvav,yoshlar daftari,4,2,3,4,3,3,83
ynrdh,oliali,4,4,3,2,3,3,6
gtphi,temir daftar,2,2,2,4,4,4,49
ffasf,yoshlar daftari,4,3,3,3,2,2,69
wvdzo,temir daftar,4,3,2,4,2,4,45
tzwwo,chin yetim,4,2,4,4,3,2,0
agadq,boquvchisini yo'qotgan,4,3,2,3,2,2,26
eymnd,boquvchisini yo'qotgan,2,4,2,3,4,3,97
zidbk,oliali,2,2,4,3,4,2,45
vxwsr,boquvchisini yo'qotgan,4,3,2,3,2,2,90
ogvcr,temir daftar,2,2,2,3,4,3,79
mfzul,boquvchisini yo'qotgan,3,3,3,2,4,2,38
bjcxh,yoshlar daftari,3,4,4,3,4,3,77
zcchm,chin yetim,2,2,4,3,2,4,60
pkpim,yolg'iz,2,4,3,2,2,4,16
vmdnz,oliali,3,3,2,2,2,4,85
ssvbh,chin yetim,2,4,4,3,3,4,4
fmffv,yoshlar daftari,3,2,3,3,3,4,88
ywqse,ijtimoiy ximoyaga muhtoj oila restor,3,3,2,2,3,3,18
lbcjk,yoshlar daftari,3,2,2,4,2,2,49
srqvd,oliali,4,2,4,2,3,4,69
wougk,oliali,3,4,2,3,4,4,5
vpihv,boquvchisini yo'qotgan,3,3,3,4,4,2,88
kxmyz,temir daftar,3,4,3,2,3,2,84
yeoza,oliali,3,4,4,4,2,2,36
hutfw,temir daftar,3,2,3,3,3,2,63
mihcv,yolg'iz,2,3,4,3,4,4,33
wufwv,temir daftar,4,2,2,3,2,2,68
dkyfj,chin yetim,4,3,4,3,4,4,19
pjwtz,temir daftar,3,2,4,4,3,2,21
csrpw,boquvchisini yo'qotgan,2,2,4,3,2,3,5
sdeoj,chin yetim,4,3,4,3,2,4,7
axafb,chin yetim,3,3,4,3,4,4,28
rimck,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,3,3,2,53
bqpsf,oliali,3,2,2,2,2,2,87
wyrmb,chin yetim,3,2,3,4,3,4,22
awjsh,boquvchisini yo'qotgan,4,3,4,3,3,3,64
jddox,yolg'iz,2,3,4,2,4,3,19
lszcv,oliali,4,2,2,3,3,4,10
elaud,boquvchisini yo'qotgan,2,2,2,4,4,3,13
zebco,yoshlar daftari,2,4,4,2,3,2,56
bewqn,chin yetim,4,4,2,4,2,2,38
ukhlu,chin yetim,3,2,3,4,2,4,28
rdzha,oliali,2,2,4,3,2,4,11
ehhzj,boquvchisini yo'qotgan,2,3,3,4,4,3,23
jygqv,oliali,3,2,2,2,3,2,71
gebpd,oliali,4,4,4,3,3,3,49
utems,chin yetim,4,4,4,3,4,4,34
gyszx,temir daftar,3,2,3,2,4,3,32
douvu,oliali,3,2,3,4,2,4,35
wrgou,ijtimoiy ximoyaga muhtoj oila restor,2,2,4,4,2,2,58
ilgmg,chin yetim,3,3,2,2,4,2,40
svnkj,temir daftar,2,4,4,3,4,4,65
fczqz,yoshlar daftari,2,2,2,3,3,2,10
kdiiz,yoshlar daftari,4,4,4,4,3,4,46
chcks,yoshlar daftari,4,3,3,3,3,4,39
zvfjb,ijtimoiy ximoyaga muhtoj oila restor,3,4,4,2,4,2,82
gwslg,chin yetim,3,4,2,4,3,3,54
wiaci,chin yetim,4,3,4,2,3,2,9
marvr,boquvchisini yo'qotgan,3,4,4,3,3,3,9
buzmh,oliali,2,4,4,2,3,2,40
sturo,temir daftar,3,4,3,2,2,2,30
reyzi,temir daftar,3,3,4,4,3,4,7
yxptl,ijtimoiy ximoyaga muhtoj oila restor,2,2,4,4,3,4,93
wndpf,yolg'iz,3,3,2,4,3,2,45
kveaf,temir daftar,4,2,4,4,2,3,82
rkxoo,yoshlar daftari,4,2,2,3,2,3,68
gpcov,boquvchisini yo'qotgan,4,3,3,2,4,2,21
jsadg,boquvchisini yo'qotgan,3,3,4,2,4,2,82
igcbl,yolg'iz,4,3,3,2,2,3,93
dkrbz,yolg'iz,2,4,3,4,4,3,34
umrlq,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,2,4,2,5
spsmb,boquvchisini yo'qotgan,4,2,2,3,3,3,17
rwcjc,yolg'iz,2,2,3,4,2,2,35
vkrsh,temir daftar,3,2,3,3,2,4,97
lhmpz,ijtimoiy ximoyaga muhtoj oila restor,3,3,2,3,4,4,32
snofx,temir daftar,2,2,4,2,2,3,68
vrwvv,temir daftar,4,4,4,4,2,2,67
ysqta,yolg'iz,4,2,2,2,2,3,83
unfxs,boquvchisini yo'qotgan,2,2,4,3,3,4,11
costs,boquvchisini yo'qotgan,2,4,2,3,2,3,77
ilnnh,yoshlar daftari,3,2,2,3,2,3,92
yvvdf,yoshlar daftari,4,4,4,3,4,4,5
iefvm,yolg'iz,4,4,2,3,2,4,61
xyiup,temir daftar,3,2,4,4,3,2,80
qtemf,ijtimoiy ximoyaga muhtoj oila restor,2,2,4,2,2,2,61
ttyuq,oliali,2,3,2,2,4,4,15
ozwyh,chin yetim,4,3,2,2,2,3,94
ytfqv,yolg'iz,4,3,3,2,3,4,84
ohgad,chin yetim,2,2,2,2,2,4,85
rtljx,chin yetim,3,2,2,2,3,4,76
crcip,boquvchisini yo'qotgan,3,3,2,4,3,4,63
bacey,temir daftar,2,3,4,4,3,4,90
uelbn,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,3,4,4,6
yytkh,oliali,3,2,3,3,2,3,54
gnkqe,boquvchisini yo'qotgan,4,3,2,4,4,4,87
amivp,yolg'iz,4,4,3,4,2,3,19
cvvqi,chin yetim,2,4,2,2,3,4,91
tsdbc,boquvchisini yo'qotgan,4,3,2,4,3,4,73
zosxz,oliali,4,3,3,4,2,4,16
gpabx,boquvchisini yo'qotgan,3,3,2,4,4,2,81
pnmba,yolg'iz,4,3,3,4,2,4,21
ettkc,ijtimoiy ximoyaga muhtoj oila restor,4,4,4,4,4,4,80
yqfdy,oliali,3,3,3,3,4,4,57
ntudy,oliali,3,2,4,2,4,3,61
irjad,oliali,2,2,2,2,2,4,1
zkuuw,ijtimoiy ximoyaga muhtoj oila restor,3,3,2,4,2,3,22
dbtai,yolg'iz,3,2,2,3,4,2,95
itumj,chin yetim,3,2,4,4,2,3,12
yjqem,ijtimoiy ximoyaga muhtoj oila restor,4,2,2,3,2,2,65
vmame,temir daftar,3,4,3,4,4,4,42
dvrls,yoshlar daftari,2,3,4,4,4,3,64
vfxyp,boquvchisini yo'qotgan,4,3,3,4,2,4,85
dysvj,temir daftar,2,4,3,3,4,4,58
yrsnj,temir daftar,3,4,4,4,2,4,5
cekcb,ijtimoiy ximoyaga muhtoj oila restor,3,4,4,3,4,3,69
gyett,boquvchisini yo'qotgan,4,2,3,4,2,3,36
ayopo,yoshlar daftari,3,4,2,2,2,2,62
oymoa,yoshlar daftari,2,2,2,4,3,3,9
ncfae,yolg'iz,3,4,2,2,2,3,84
scnaz,boquvchisini yo'qotgan,3,4,2,2,2,3,71
bhhfj,yoshlar daftari,3,2,3,2,4,3,42
aqnyl,oliali,2,3,2,4,4,2,73
tgewf,boquvchisini yo'qotgan,2,4,2,3,4,2,0
medjm,temir daftar,4,3,3,4,4,4,59
umtzg,oliali,4,4,4,4,3,2,78
lryuc,chin yetim,4,3,3,4,3,3,4
eybha,chin yetim,2,2,4,2,2,2,95
pwpwg,chin yetim,3,4,3,3,4,4,18
wppcc,oliali,3,4,4,3,2,4,67
bysfd,yolg'iz,4,3,4,4,3,2,63
jkzce,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,4,4,3,98
eaowx,boquvchisini yo'qotgan,3,2,3,2,2,4,27
wafnz,oliali,3,3,3,2,2,2,36
rzpqh,yolg'iz,2,3,2,4,3,3,8
dsaki,yoshlar daftari,2,2,3,4,3,4,26
hxhue,boquvchisini yo'qotgan,2,4,3,4,2,2,3
oxvxr,yolg'iz,2,4,2,3,4,4,27
lbfkt,boquvchisini yo'qotgan,4,3,2,4,4,3,96
bgsli,oliali,2,4,3,3,3,4,76
ovysx,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,4,3,4,68
xzzyl,boquvchisini yo'qotgan,3,3,4,4,2,3,21
dzewo,oliali,3,2,4,2,3,2,17
ixowo,oliali,3,4,3,2,3,4,87
ssdqm,ijtimoiy ximoyaga muhtoj oila restor,4,4,2,3,2,4,12
mgyel,chin yetim,2,2,4,2,3,4,63
jzovu,boquvchisini yo'qotgan,2,2,3,4,3,3,67
vavhu,oliali,3,2,3,4,4,2,2
qpejn,chin yetim,2,4,2,3,4,2,74
baejx,ijtimoiy ximoyaga muhtoj oila restor,2,2,4,3,3,2,45
duyyt,temir daftar,2,3,2,4,3,3,78
kvbsa,yolg'iz,4,4,2,2,4,2,19
qvfeq,boquvchisini yo'qotgan,3,4,4,3,3,2,10
jrigp,yoshlar daftari,4,3,4,2,3,4,8
kmhxa,chin yetim,4,4,2,4,4,4,33
mltlo,ijtimoiy ximoyaga muhtoj oila restor,4,2,3,3,3,4,66
cgsxf,yoshlar daftari,4,4,3,4,3,2,7
cahoh,chin yetim,3,3,3,4,3,3,76
mlygp,boquvchisini yo'qotgan,4,2,3,3,4,2,37
xaawg,ijtimoiy ximoyaga muhtoj oila restor,3,3,3,2,4,3,77
cvffd,chin yetim,3,4,2,2,4,3,99
ittoz,ijtimoiy ximoyaga muhtoj oila restor,3,2,2,3,4,2,34
eorfg,ijtimoiy ximoyaga muhtoj oila restor,2,4,2,3,2,2,33
ctela,yolg'iz,3,4,3,2,4,3,4
xtzed,boquvchisini yo'qotgan,3,2,3,3,4,2,77
ryqqh,oliali,4,3,2,3,2,3,72
nanok,yoshlar daftari,2,2,3,3,2,2,19
fsfkx,yolg'iz,2,2,4,4,3,3,64
qanfx,yolg'iz,3,2,2,3,4,4,19
dxcfd,yolg'iz,2,3,3,2,4,4,28
xfsvu,temir daftar,3,4,3,2,4,2,96
ijmpl,yolg'iz,4,2,3,3,4,4,44
rhzba,ijtimoiy ximoyaga muhtoj oila restor,2,2,3,2,4,4,94
eioyw,yoshlar daftari,4,4,2,4,4,3,14
jpzxv,boquvchisini yo'qotgan,2,4,4,2,3,2,77
lrxnd,yoshlar daftari,2,3,4,2,4,3,14
cbnit,boquvchisini yo'qotgan,4,2,3,4,4,4,71
manjb,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,2,3,3,7
ntxes,ijtimoiy ximoyaga muhtoj oila restor,3,2,2,3,3,2,93
bdrph,chin yetim,4,4,3,4,4,3,46
wkpkn,boquvchisini yo'qotgan,4,2,3,3,4,4,79
dnlnm,yoshlar daftari,2,2,2,4,4,4,72
ifhtf,chin yetim,2,3,3,4,3,3,56
jfedk,ijtimoiy ximoyaga muhtoj oila restor,4,3,3,4,3,3,98
pkuhu,temir daftar,2,2,4,4,2,2,64
bllcn,yolg'iz,4,2,3,2,4,4,29
saeto,chin yetim,4,2,4,2,4,2,36
qztdl,yoshlar daftari,3,2,3,4,4,3,62
cwwqw,temir daftar,4,2,3,3,4,3,63
qzifw,yolg'iz,4,2,2,3,2,3,83
ljsgy,temir daftar,3,2,2,3,4,4,88
mzzkr,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,4,2,4,2
kesby,chin yetim,3,2,2,4,3,3,33
brcfv,ijtimoiy ximoyaga muhtoj oila restor,3,4,4,4,4,4,70
wrqbj,yoshlar daftari,4,2,3,3,3,4,89
lirwp,boquvchisini yo'qotgan,3,2,4,4,3,2,2
mayfn,boquvchisini yo'qotgan,3,2,3,3,3,2,19
yifvc,chin yetim,3,2,4,4,3,3,79
hafxn,yolg'iz,4,4,2,3,2,2,8
ymdkd,chin yetim,4,2,2,4,4,3,72
kcqzq,boquvchisini yo'qotgan,2,4,4,3,4,2,95
rqave,temir daftar,4,4,4,2,3,3,38
ekkac,ijtimoiy ximoyaga muhtoj oila restor,2,3,4,3,2,2,36
wmvfh,ijtimoiy ximoyaga muhtoj oila restor,2,3,4,3,4,4,77
ejrds,yolg'iz,2,2,4,4,3,3,66
rxztu,oliali,3,4,3,2,2,4,95
yifyq,chin yetim,2,3,2,3,3,3,24
eggrp,oliali,4,4,4,3,4,2,63
iqyqo,chin yetim,3,2,2,2,3,3,4
cojaf,yoshlar daftari,4,3,3,2,3,4,34
fbpzc,ijtimoiy ximoyaga muhtoj oila restor,2,2,4,4,4,4,87
gxgxd,boquvchisini yo'qotgan,3,4,4,4,4,3,81
nyqfd,yolg'iz,4,2,2,4,4,2,84
qiqdw,temir daftar,4,4,2,2,3,2,84
sszkk,ijtimoiy ximoyaga muhtoj oila restor,2,3,4,4,2,2,16
yzbxp,yolg'iz,4,2,4,2,4,4,9
fhohk,yoshlar daftari,4,4,3,2,2,3,66
aehqu,yolg'iz,2,2,2,4,2,2,2
vtwke,oliali,4,4,2,3,2,3,52
rceri,chin yetim,3,2,2,3,4,2,54
yerat,yolg'iz,3,3,4,3,2,4,94
ttnfp,yolg'iz,4,4,2,2,3,4,67
ugoei,chin yetim,2,2,3,2,2,3,24
pfpua,chin yetim,4,4,4,4,4,3,57
fejpc,yoshlar daftari,4,2,3,3,2,4,42
djuii,boquvchisini yo'qotgan,2,2,4,3,2,3,57
vkfpy,boquvchisini yo'qotgan,2,4,4,2,4,2,18
hwvbx,temir daftar,2,4,4,4,3,3,66
ojzep,boquvchisini yo'qotgan,3,2,4,2,3,2,82
fcqmp,oliali,2,2,4,4,4,2,30
fpmpd,temir daftar,2,4,3,3,3,4,66
eduao,boquvchisini yo'qotgan,4,3,3,3,3,2,7
ntdjf,yoshlar daftari,2,2,3,3,3,3,94
ssecn,chin yetim,3,2,2,3,2,4,33
pwcmd,ijtimoiy ximoyaga muhtoj oila restor,3,4,2,2,3,3,63
nbqcd,oliali,4,2,4,4,3,3,40
iyehz,oliali,2,4,4,3,4,3,71
erqyw,ijtimoiy ximoyaga muhtoj oila restor,4,2,3,2,4,4,63
npgig,yoshlar daftari,4,2,3,2,3,3,26
vumai,yolg'iz,3,3,4,3,3,3,20
ryyhu,ijtimoiy ximoyaga muhtoj oila restor,4,3,3,2,4,4,92
gfxgh,yoshlar daftari,3,4,3,4,3,4,39
ewnkz,oliali,3,2,4,3,4,4,10
hziaj,boquvchisini yo'qotgan,4,2,3,4,4,4,63
csowo,yoshlar daftari,4,4,4,3,4,3,75
gnhup,chin yetim,4,3,2,2,4,4,95
wzlyn,temir daftar,3,4,4,2,4,2,51
ouuqv,ijtimoiy ximoyaga muhtoj oila restor,2,4,2,3,4,3,36
mivnk,oliali,2,4,4,2,4,4,88
seafd,yolg'iz,4,3,2,2,4,2,82
jvdqa,chin yetim,4,4,3,3,3,4,48
quewo,yoshlar daftari,2,3,3,2,3,3,30
xhagq,ijtimoiy ximoyaga muhtoj oila restor,2,2,2,4,4,3,56
zjjpo,ijtimoiy ximoyaga muhtoj oila restor,2,3,2,2,2,2,36
jfcln,yoshlar daftari,3,3,2,4,3,4,64
khksj,yoshlar daftari,2,2,2,4,2,2,54
zgzpz,chin yetim,4,4,4,3,4,4,91
hnqtr,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,4,2,3,31
dswlw,ijtimoiy ximoyaga muhtoj oila restor,3,3,2,2,4,2,81
ngvsg,temir daftar,3,4,2,2,4,4,54
jpkwo,temir daftar,2,4,4,2,4,3,76
jprgt,yolg'iz,2,3,3,3,3,3,6
mprmj,yoshlar daftari,2,2,3,4,4,4,37
nrgib,boquvchisini yo'qotgan,2,2,3,2,2,2,14
ysfcj,boquvchisini yo'qotgan,4,4,2,4,3,3,30
dcykw,temir daftar,4,3,2,4,4,3,99
zqfdx,chin yetim,4,2,2,3,2,3,18
fvivk,chin yetim,3,3,3,2,4,4,97
tidss,oliali,2,2,4,4,4,4,45
kaxte,oliali,3,2,2,4,4,2,41
bvzlp,yoshlar daftari,3,4,3,3,4,2,74
kqipg,temir daftar,4,4,4,4,4,2,20
javqz,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,2,3,4,43
xhpiv,chin yetim,4,2,4,4,4,2,8
jwlxz,chin yetim,4,3,2,2,4,3,30
jlfsf,yolg'iz,3,2,3,4,3,3,16
kerhg,ijtimoiy ximoyaga muhtoj oila restor,2,3,4,4,2,3,6
lzpwo,temir daftar,3,4,4,3,4,3,61
jrgha,chin yetim,4,4,3,2,3,3,87
hxpgk,oliali,3,3,4,3,2,4,19
napzs,chin yetim,3,3,3,4,4,4,17
obote,boquvchisini yo'qotgan,3,3,4,3,4,2,23
fzgdy,chin yetim,2,4,2,4,2,3,80
