F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
B. Zoxida,boquvchisini yo'qotgan,4,4,2,5,4,3.8,77%
G. Oliya,ijtimoiy ximoyaga muhtoj oila reestr,4,5,3,3,5,4.0,76%
U. Abdulg‘afur,yoshlar daftari,5,5,3,5,5,4.6,52%
V. Jahongir,yolg'iz,5,4,2,4,2,3.4,77%
P. Isroil,yolg'iz,4,2,4,4,4,3.6,70%
Y. Kamola,temir daftar,4,5,4,3,4,4.0,95%
Y. Islom,boquvchisini yo'qotgan,4,4,5,5,4,4.4,19%
D. Zebo,yoshlar daftari,2,3,4,5,4,3.6,32%
R. Yunus,yoshlar daftari,3,4,5,4,5,4.2,83%
N. Zayniddin,oilali,5,3,4,2,3,3.4,80%
H. Muattar,boquvchisini yo'qotgan,4,2,3,3,5,3.4,83%
U. Zilola,oilali,3,5,4,5,2,3.8,7%
E. Abdulg‘ani,temir daftar,5,4,2,5,4,4.0,94%
P. Yusuf,chin yetim,4,4,4,4,4,4.0,94%
H. Abdulqahhor,yolg'iz,3,4,4,2,3,3.2,51%
A. Abdurrahiym,yolg'iz,3,4,4,4,5,4.0,91%
U. Safo,yoshlar daftari,4,3,4,5,5,4.2,60%
X. Narimon,yolg'iz,5,4,3,4,4,4.0,96%
Y. Madina,ijtimoiy ximoyaga muhtoj oila reestr,5,5,5,4,2,4.2,43%
U. Vafo,yoshlar daftari,4,5,5,4,2,4.0,95%
U. Ahmad,yoshlar daftari,3,4,4,4,4,3.8,92%
U. Diyor,yoshlar daftari,4,5,5,5,4,4.6,77%
B. Jamila,oilali,2,5,2,4,5,3.6,14%
C. Bahtiyor,yolg'iz,4,4,5,5,4,4.4,98%
M. Hosiyat,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,4,4,3.8,78%
Q. Mumtoz,temir daftar,3,5,4,2,3,3.4,75%
N. Erkin,yoshlar daftari,5,4,4,4,4,4.2,70%
G. Oliya,yoshlar daftari,5,5,5,5,4,4.8,6%
H. Firdavs,boquvchisini yo'qotgan,4,4,4,2,5,3.8,93%
"A. Rayona, Rayyona",yoshlar daftari,5,3,2,3,5,3.6,75%
U. Shirin,yoshlar daftari,4,4,3,5,3,3.8,94%
C. Adiba,chin yetim,3,4,4,3,5,3.8,92%
B. Asolat,chin yetim,5,3,4,3,4,3.8,71%
Y. Islom,boquvchisini yo'qotgan,5,4,5,4,5,4.6,81%
O. Zinnura,temir daftar,4,5,3,3,4,3.8,92%
N. Mabruk,yoshlar daftari,3,2,3,4,4,3.2,68%
O. Abror,temir daftar,4,3,3,5,5,4.0,16%
S. Gulzira,oilali,3,4,4,4,4,3.8,87%
X. Solixa,yolg'iz,4,4,4,4,4,4.0,32%
G. Oliya,yoshlar daftari,5,3,4,4,4,4.0,73%
T. Nargiza,temir daftar,3,2,4,5,2,3.2,61%
W. Zulfiya,ijtimoiy ximoyaga muhtoj oila reestr,5,5,5,5,4,4.8,91%
U. Vafo,oilali,5,4,4,4,5,4.4,58%
H. Asomiddin,yoshlar daftari,5,4,5,3,4,4.2,71%
Z. Noila,chin yetim,3,4,4,2,3,3.2,73%
P. Abdulhakim,temir daftar,5,4,5,4,4,4.4,76%
S. Ravshan,boquvchisini yo'qotgan,5,2,5,4,5,4.2,75%
"T. Saadi, Sa’di",ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,2,5,4.2,43%
Y. Murod,chin yetim,2,4,5,3,2,3.2,75%
O. Ali,yolg'iz,5,3,4,4,4,4.0,83%
Y. Zaynura,ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,3,5,4.4,94%
T. Uzayr,ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,4,5,4.6,88%
"T. Saadi, Sa’di",temir daftar,2,4,3,5,4,3.6,87%
K. Ramziya,oilali,4,4,4,4,4,4.0,83%
B. Mafzuna,yolg'iz,5,5,4,4,5,4.6,83%
N. Akifa,temir daftar,5,4,3,4,4,4.0,85%
N. Abdulfattoh,yoshlar daftari,4,4,4,5,5,4.4,11%
U. Guloy,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,3,3,3.6,87%
P. Abdulhakim,yoshlar daftari,2,4,3,2,3,2.8,73%
G. Kamoliddin,yolg'iz,5,3,4,3,4,3.8,90%
O. Raif,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,4,2,3.2,96%
V. Barno,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,5,3,4.2,80%
C. Abdulazim,oilali,2,2,4,3,2,2.6,77%
J. Mazbut,yoshlar daftari,3,3,3,4,5,3.6,75%
X. Dilmurod,chin yetim,5,2,5,3,4,3.8,35%
H. Mansur,yoshlar daftari,4,5,4,4,5,4.4,69%
X. Asadulloh,boquvchisini yo'qotgan,3,4,3,3,5,3.6,74%
Q. Mirziyo,boquvchisini yo'qotgan,4,3,4,5,3,3.8,26%
H. Bobur,boquvchisini yo'qotgan,3,4,3,5,5,4.0,89%
V. Zabir,yolg'iz,2,4,4,4,4,3.6,81%
H. Sa’dulloh,oilali,4,5,3,5,2,3.8,28%
"A. Rayona, Rayyona",boquvchisini yo'qotgan,5,5,5,4,4,4.6,89%
P. G‘ulom,oilali,4,3,4,5,5,4.2,72%
T. Taxmina,chin yetim,3,4,5,4,5,4.2,89%
P. Samandar,oilali,4,5,2,3,3,3.4,6%
N. Shodiyor,boquvchisini yo'qotgan,2,4,5,3,3,3.4,83%
F. Ubaydulloh,chin yetim,5,3,4,3,4,3.8,72%
Y. Nizom,chin yetim,4,5,5,2,4,4.0,81%
H. Muattar,yoshlar daftari,4,4,2,3,3,3.2,32%
F. Ubaydulloh,temir daftar,2,5,4,3,5,3.8,93%
G. Oliya,yolg'iz,5,3,3,3,3,3.4,49%
Y. Nasiba,yolg'iz,5,3,5,5,2,4.0,40%
N. Sherzod,boquvchisini yo'qotgan,4,2,4,5,4,3.8,22%
M. Ozod,temir daftar,4,4,4,5,5,4.4,92%
G. Jasur,boquvchisini yo'qotgan,5,4,4,4,5,4.4,77%
R. Zaxro,temir daftar,3,3,3,4,5,3.6,33%
H. Abdulhafiz,temir daftar,4,5,5,3,5,4.4,73%
S. Hurram,chin yetim,4,3,4,4,4,3.8,75%
L. Sayyora,oilali,5,4,4,4,5,4.4,90%
T. Abdulg‘affor,yolg'iz,5,5,3,4,3,4.0,88%
A. Botir,boquvchisini yo'qotgan,4,4,5,5,2,4.0,83%
M. Nigora,boquvchisini yo'qotgan,5,3,5,3,4,4.0,93%
V. Barno,boquvchisini yo'qotgan,4,3,3,4,3,3.4,32%
R. Zarina,temir daftar,3,4,5,5,4,4.2,53%
S. Ahror,yoshlar daftari,5,4,2,5,5,4.2,6%
D. Mavlon,yolg'iz,3,5,4,4,4,4.0,79%
S. Gulasal,boquvchisini yo'qotgan,4,4,2,4,2,3.2,98%
Z. Odil,oilali,4,5,3,3,5,4.0,74%
D. Zebo,chin yetim,3,4,4,2,3,3.2,71%
S. Gulra’no,temir daftar,4,2,2,3,3,2.8,80%
G. Shodiya,temir daftar,5,4,4,4,5,4.4,3%
V. Rustam,yolg'iz,2,4,5,4,5,4.0,50%
X. Sohib,chin yetim,3,4,4,5,3,3.8,86%
G. Shodiya,ijtimoiy ximoyaga muhtoj oila reestr,4,4,5,4,5,4.4,27%
H. Oynur,ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,4,4,4.2,39%
P. Muzaffar,yoshlar daftari,3,3,2,4,2,2.8,16%
N. Abdullatif,yoshlar daftari,3,5,4,5,4,4.2,30%
T. Alima,oilali,4,5,4,4,4,4.2,21%
L. Iskandar,ijtimoiy ximoyaga muhtoj oila reestr,5,4,3,5,4,4.2,96%
V. Ashraf,ijtimoiy ximoyaga muhtoj oila reestr,3,4,5,5,4,4.2,97%
P. Rizvon,temir daftar,5,2,4,4,5,4.0,98%
Y. Saboxat,oilali,5,4,3,4,4,4.0,3%
S. Maloxat,ijtimoiy ximoyaga muhtoj oila reestr,5,3,5,5,3,4.2,84%
Q. Aziz,yolg'iz,4,5,4,2,5,4.0,22%
C. Sadar,yoshlar daftari,5,3,4,4,5,4.2,74%
I. Najmiddin,oilali,3,5,2,5,5,4.0,70%
I. Abdurrauf,ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,5,3,4.4,92%
W. Amir,chin yetim,3,5,4,5,4,4.2,79%
B. Yahyo,oilali,4,4,4,5,4,4.2,3%
U. Maxsuma,oilali,4,3,4,3,4,3.6,70%
A. Muazzam,ijtimoiy ximoyaga muhtoj oila reestr,4,4,5,4,3,4.0,4%
B. Ramziddin,yoshlar daftari,4,5,5,4,2,4.0,87%
H. Firdavs,boquvchisini yo'qotgan,3,5,4,5,2,3.8,53%
M. Moxidil,yoshlar daftari,4,4,4,3,4,3.8,85%
U. Zilola,yolg'iz,4,3,5,3,5,4.0,94%
M. Hamza,ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,4,5,4.4,16%
W. Abdurrazzoq,oilali,4,4,4,4,4,4.0,77%
B. Mafzuna,temir daftar,4,3,3,5,3,3.6,15%
H. Kumush,temir daftar,4,5,5,3,3,4.0,75%
Q. Maqsuda,oilali,3,4,5,5,4,4.2,26%
H. Kumush,chin yetim,4,5,2,5,5,4.2,87%
H. Hojimurod,temir daftar,5,5,2,5,4,4.2,89%
D. Abdulvahhob,ijtimoiy ximoyaga muhtoj oila reestr,5,2,2,3,3,3.0,96%
Q. Hoji,boquvchisini yo'qotgan,3,4,4,3,3,3.4,31%
T. Zarifa,boquvchisini yo'qotgan,4,4,5,5,5,4.6,70%
F. Olim,temir daftar,2,5,5,2,5,3.8,75%
R. Musulmon,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,4,3,3.8,4%
A. Ma’mura,oilali,4,4,5,4,5,4.4,86%
M. Munif,temir daftar,2,5,4,4,5,4.0,86%
L. Dilnoza,oilali,5,4,3,3,4,3.8,82%
Q. Mirziyo,yoshlar daftari,5,5,4,5,3,4.4,71%
C. Dilafruz,chin yetim,3,4,4,4,3,3.6,72%
C. Dilafruz,yoshlar daftari,4,5,2,5,4,4.0,77%
W. Dilso‘z,boquvchisini yo'qotgan,4,2,4,4,3,3.4,82%
J. Lola,yoshlar daftari,5,4,3,5,4,4.2,86%
A. Botir,yolg'iz,2,2,5,5,5,3.8,85%
Y. Kamola,yolg'iz,2,3,5,5,4,3.8,75%
S. Gulbaxor,oilali,5,5,5,5,4,4.8,3%
Q. Asal,boquvchisini yo'qotgan,4,4,4,4,5,4.2,91%
P. Muzaffar,chin yetim,4,4,5,4,4,4.2,76%
V. Jamol,yolg'iz,3,5,5,3,2,3.6,99%
R. Abdulholiq,chin yetim,3,5,4,5,4,4.2,83%
D. Asilbek,yolg'iz,5,4,5,3,2,3.8,18%
P. Abdulhakim,boquvchisini yo'qotgan,3,4,5,3,2,3.4,61%
X. Mushtariy,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,4,4,4.2,75%
J. Ozoda,temir daftar,4,4,3,4,2,3.4,40%
X. Mahrus,chin yetim,4,5,3,2,4,3.6,17%
T. Alima,chin yetim,5,3,4,3,4,3.8,74%
N. Yorbek,temir daftar,3,4,5,4,4,4.0,97%
H. Ahbor,chin yetim,4,5,3,4,4,4.0,7%
T. Hamdam,chin yetim,4,5,2,5,3,3.8,95%
T. Abdulg‘affor,oilali,2,4,3,4,4,3.4,90%
U. Umar,ijtimoiy ximoyaga muhtoj oila reestr,4,5,5,5,4,4.6,76%
I. Najmiddin,yolg'iz,4,5,3,2,5,3.8,78%
B. Vosil,yoshlar daftari,4,4,5,3,2,3.6,80%
Q. Farida,yoshlar daftari,2,5,5,4,3,3.8,70%
Y. Zubayr,temir daftar,5,3,3,2,2,3.0,81%
M. Sadoqat,boquvchisini yo'qotgan,4,3,3,4,4,3.6,98%
U. Umar,yolg'iz,3,5,3,4,5,4.0,73%
T. Nargiza,yolg'iz,2,4,5,2,5,3.6,84%
A. Obid,temir daftar,5,2,2,4,5,3.6,8%
M. To‘lqin,chin yetim,4,5,5,3,2,3.8,91%
