F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
qyxaf,yoshlar daftari,3,3,3,4,2,3.0,15%
ufzlm,boquvchisini yo'qotgan,4,4,2,2,2,2.8,78%
moupv,boquvchisini yo'qotgan,3,4,2,4,3,3.2,89%
ukedc,yolg'iz,3,2,2,4,2,2.6,46%
styro,oilali,4,2,4,4,4,3.6,43%
iqnoa,chin yetim,4,3,4,2,3,3.2,79%
uvvcp,boquvchisini yo'qotgan,3,4,3,4,2,3.2,13%
wyklj,temir daftar,4,3,2,4,2,3.0,92%
phflx,ijtimoiy ximoyaga muhtoj oila reestr,2,3,2,3,2,2.4,23%
uhzdz,yoshlar daftari,4,2,4,4,2,3.2,54%
hzrei,oilali,4,2,2,4,4,3.2,14%
dvqia,yolg'iz,3,4,3,4,2,3.2,82%
utmpm,ijtimoiy ximoyaga muhtoj oila reestr,4,2,2,2,3,2.6,71%
ncfrs,chin yetim,4,2,2,3,4,3.0,33%
eoybj,oilali,4,3,3,4,3,3.4,1%
xrmew,yoshlar daftari,4,4,2,2,4,3.2,26%
xavar,yoshlar daftari,4,4,4,4,4,4.0,73%
oqkuz,yolg'iz,3,4,3,3,4,3.4,98%
yvqma,temir daftar,4,3,3,4,4,3.6,86%
bicau,yolg'iz,3,3,3,2,3,2.8,71%
pwfqe,chin yetim,2,4,4,3,4,3.4,91%
efcuw,oilali,4,4,4,2,2,3.2,22%
euejj,oilali,3,3,3,4,4,3.4,67%
squni,boquvchisini yo'qotgan,2,2,3,2,2,2.2,13%
nasmm,temir daftar,2,2,2,3,3,2.4,62%
daqhb,temir daftar,2,3,4,2,4,3.0,92%
hgzzb,oilali,3,3,4,3,2,3.0,64%
vvcrl,oilali,4,2,4,3,4,3.4,67%
avley,ijtimoiy ximoyaga muhtoj oila reestr,4,2,3,2,3,2.8,62%
qpowo,ijtimoiy ximoyaga muhtoj oila reestr,2,4,2,3,3,2.8,95%
eunbk,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,4,3,3.2,96%
sgfbf,temir daftar,3,2,2,4,3,2.8,89%
rbros,boquvchisini yo'qotgan,2,4,3,3,4,3.2,80%
btyfa,yoshlar daftari,4,2,3,3,3,3.0,86%
xowjs,ijtimoiy ximoyaga muhtoj oila reestr,4,2,3,4,3,3.2,63%
qedjx,boquvchisini yo'qotgan,2,3,2,2,3,2.4,31%
qjqtx,yolg'iz,3,2,4,2,3,2.8,78%
ebfub,chin yetim,3,4,2,2,2,2.6,12%
mkkpk,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,3,3,3.0,65%
soyww,yolg'iz,2,4,3,3,2,2.8,18%
pkvph,yoshlar daftari,2,4,2,4,3,3.0,23%
dhdxy,chin yetim,4,4,4,3,2,3.4,87%
ccrzs,chin yetim,3,2,4,4,4,3.4,10%
suerj,yoshlar daftari,4,4,2,2,4,3.2,58%
vufae,ijtimoiy ximoyaga muhtoj oila reestr,3,3,4,2,3,3.0,85%
ilznb,temir daftar,3,3,4,3,3,3.2,14%
qnzmi,yoshlar daftari,3,3,2,4,4,3.2,9%
zyoyv,yoshlar daftari,2,2,4,3,3,2.8,40%
oxkpq,yoshlar daftari,4,3,2,3,3,3.0,26%
zdahq,chin yetim,3,4,2,3,4,3.2,59%
ctoox,boquvchisini yo'qotgan,3,2,3,2,3,2.6,72%
vnzwn,yolg'iz,2,3,2,3,3,2.6,51%
xbmzn,temir daftar,4,4,2,3,2,3.0,27%
xsgco,ijtimoiy ximoyaga muhtoj oila reestr,4,2,2,4,3,3.0,64%
wnkom,ijtimoiy ximoyaga muhtoj oila reestr,2,4,3,4,2,3.0,16%
rzfcs,yolg'iz,3,3,4,4,4,3.6,94%
oywej,boquvchisini yo'qotgan,3,3,2,3,2,2.6,43%
gyqgv,yoshlar daftari,4,4,3,4,4,3.8,9%
zlyqm,temir daftar,3,2,3,2,3,2.6,62%
tydjc,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,3,2,3.0,92%
imrod,yolg'iz,4,2,2,4,4,3.2,81%
ovboh,oilali,4,3,4,4,4,3.8,46%
hqlsj,yolg'iz,2,2,3,2,3,2.4,37%
ieftz,ijtimoiy ximoyaga muhtoj oila reestr,2,4,2,3,2,2.6,69%
bxmfe,yoshlar daftari,4,3,4,4,3,3.6,75%
yauvu,oilali,4,4,2,4,4,3.6,52%
ffwpd,boquvchisini yo'qotgan,4,4,3,2,4,3.4,77%
kxwiw,temir daftar,4,3,4,3,2,3.2,43%
cshed,boquvchisini yo'qotgan,2,4,4,4,3,3.4,73%
xfbtk,boquvchisini yo'qotgan,4,4,2,4,2,3.2,53%
dofvq,yolg'iz,4,2,4,2,3,3.0,19%
xfsyb,temir daftar,2,2,2,4,4,2.8,78%
okhzs,temir daftar,4,3,3,2,3,3.0,30%
mlefz,ijtimoiy ximoyaga muhtoj oila reestr,2,2,2,3,4,2.6,6%
vdsta,ijtimoiy ximoyaga muhtoj oila reestr,3,2,2,3,2,2.4,57%
tqloa,temir daftar,2,3,3,3,2,2.6,9%
znfek,oilali,2,4,4,3,4,3.4,9%
dmkca,chin yetim,2,4,2,3,3,2.8,38%
frxje,ijtimoiy ximoyaga muhtoj oila reestr,2,4,3,3,4,3.2,27%
wjlbm,chin yetim,4,2,4,4,4,3.6,29%
hbtae,yolg'iz,2,2,3,2,3,2.4,36%
iqiko,oilali,4,3,3,4,3,3.4,66%
xfwcq,temir daftar,2,2,2,2,3,2.2,42%
elrnu,oilali,3,4,3,3,3,3.2,78%
xkibl,ijtimoiy ximoyaga muhtoj oila reestr,4,2,3,4,4,3.4,84%
ccahv,boquvchisini yo'qotgan,4,2,3,4,2,3.0,51%
hkien,yolg'iz,4,4,4,4,4,4.0,55%
cuees,temir daftar,2,3,3,3,3,2.8,75%
nzdym,yoshlar daftari,2,2,2,4,4,2.8,67%
jyrhh,yolg'iz,4,3,4,3,4,3.6,8%
ghnsf,chin yetim,3,4,4,2,4,3.4,91%
awoay,oilali,4,2,3,2,2,2.6,22%
qaowb,temir daftar,3,4,3,4,4,3.6,62%
nuhhs,yolg'iz,3,2,3,4,3,3.0,60%
gsffc,oilali,3,4,2,3,4,3.2,39%
gshjt,temir daftar,4,3,2,3,2,2.8,43%
ooatg,ijtimoiy ximoyaga muhtoj oila reestr,2,2,2,3,4,2.6,85%
dfyae,yolg'iz,4,4,4,4,4,4.0,23%
wadvb,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,3,4,3.2,50%
jejav,yolg'iz,4,2,2,2,4,2.8,57%
fmodm,ijtimoiy ximoyaga muhtoj oila reestr,4,4,2,3,4,3.4,89%
xtxoh,oilali,4,4,3,4,3,3.6,93%
eodlm,yoshlar daftari,4,3,4,2,2,3.0,32%
bssdd,yolg'iz,2,2,4,2,3,2.6,15%
zketk,yolg'iz,2,2,2,4,2,2.4,21%
jhffh,ijtimoiy ximoyaga muhtoj oila reestr,3,2,2,2,3,2.4,56%
woznk,temir daftar,2,3,3,2,3,2.6,61%
lzmhr,yolg'iz,4,2,2,3,3,2.8,81%
yaohk,ijtimoiy ximoyaga muhtoj oila reestr,2,4,3,3,4,3.2,70%
lldpd,boquvchisini yo'qotgan,4,2,4,2,4,3.2,89%
exehj,ijtimoiy ximoyaga muhtoj oila reestr,3,2,2,2,4,2.6,71%
qzivs,oilali,3,2,2,2,2,2.2,69%
nhivk,yoshlar daftari,3,4,3,2,3,3.0,29%
waneu,boquvchisini yo'qotgan,2,4,4,4,2,3.2,22%
zndvw,oilali,3,4,2,2,3,2.8,31%
yavws,oilali,4,2,3,4,3,3.2,85%
houoi,oilali,3,2,2,2,3,2.4,56%
uijty,temir daftar,2,3,3,2,4,2.8,8%
uzict,oilali,4,4,3,3,3,3.4,30%
yzkfb,temir daftar,2,3,2,2,4,2.6,70%
grbqk,oilali,4,4,2,2,2,2.8,8%
lsvxy,chin yetim,3,2,4,4,2,3.0,12%
gtfux,boquvchisini yo'qotgan,2,4,2,4,3,3.0,57%
aqkvz,chin yetim,4,3,2,2,3,2.8,2%
ruqgq,oilali,2,3,2,4,2,2.6,34%
tiqtv,boquvchisini yo'qotgan,4,4,3,2,3,3.2,96%
vhqga,boquvchisini yo'qotgan,2,4,4,2,2,2.8,20%
mwsxs,yolg'iz,3,2,2,2,3,2.4,63%
qmphs,yoshlar daftari,2,4,3,3,4,3.2,94%
ranso,chin yetim,4,4,2,4,2,3.2,51%
rbvqr,yoshlar daftari,3,3,4,2,4,3.2,33%
fsdah,boquvchisini yo'qotgan,4,2,4,3,4,3.4,95%
wgcjj,temir daftar,2,2,3,2,2,2.2,34%
snbaw,boquvchisini yo'qotgan,3,4,3,4,3,3.4,14%
wrgha,yoshlar daftari,4,3,4,3,4,3.6,95%
ywcxw,chin yetim,3,2,4,3,4,3.2,5%
hvyoe,oilali,4,3,4,3,2,3.2,84%
csaoh,yolg'iz,4,2,4,4,4,3.6,96%
bcxnx,yolg'iz,3,2,4,3,4,3.2,31%
nkpdt,yolg'iz,3,4,2,2,4,3.0,51%
evunw,oilali,3,4,3,4,3,3.4,82%
prgjg,yolg'iz,2,4,2,2,4,2.8,96%
awusp,chin yetim,4,3,3,2,3,3.0,27%
sdrba,oilali,3,4,3,2,3,3.0,94%
oetkj,yolg'iz,2,4,2,3,4,3.0,84%
bcwwl,oilali,3,4,4,3,3,3.4,97%
teefi,yoshlar daftari,4,4,3,2,3,3.2,63%
bulct,chin yetim,4,3,2,3,4,3.2,78%
zvlxq,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,3,4,3.6,77%
jxnwq,temir daftar,4,2,2,2,2,2.4,18%
rsqni,yolg'iz,4,3,4,4,4,3.8,14%
hbmyg,temir daftar,3,2,4,4,2,3.0,5%
ivvkn,oilali,4,3,4,4,2,3.4,72%
dzzmb,temir daftar,4,4,3,2,2,3.0,83%
wekfr,chin yetim,3,4,2,2,4,3.0,97%
ujdif,chin yetim,4,2,4,2,4,3.2,37%
bqeyf,boquvchisini yo'qotgan,4,3,4,3,4,3.6,25%
zlwuj,yolg'iz,2,2,4,4,2,2.8,81%
vuyfh,boquvchisini yo'qotgan,4,3,3,3,3,3.2,91%
blmyu,temir daftar,3,4,4,3,4,3.6,50%
gjmqz,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,4,4,3.8,72%
uznbv,boquvchisini yo'qotgan,3,4,2,2,3,2.8,95%
kasud,boquvchisini yo'qotgan,2,3,2,2,2,2.2,52%
szukh,chin yetim,3,3,4,3,2,3.0,55%
kdqgh,ijtimoiy ximoyaga muhtoj oila reestr,2,3,3,3,4,3.0,58%
cvbwo,oilali,2,4,4,2,2,2.8,69%
xvvex,temir daftar,3,3,4,3,3,3.2,77%
azdot,boquvchisini yo'qotgan,2,2,3,2,3,2.4,91%
sctkq,ijtimoiy ximoyaga muhtoj oila reestr,2,2,2,2,3,2.2,57%
mkbiz,yolg'iz,4,2,3,3,2,2.8,87%
buiih,ijtimoiy ximoyaga muhtoj oila reestr,4,2,3,4,3,3.2,12%
qaykh,temir daftar,2,4,3,3,3,3.0,42%
jygcc,ijtimoiy ximoyaga muhtoj oila reestr,2,4,2,2,2,2.4,75%
rells,ijtimoiy ximoyaga muhtoj oila reestr,4,2,2,2,2,2.4,50%
fblse,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,2,4,2.8,18%
lqqjy,yolg'iz,3,3,3,3,4,3.2,20%
wqolp,boquvchisini yo'qotgan,2,3,4,3,2,2.8,90%
xshuq,temir daftar,3,4,2,4,2,3.0,82%
wevpf,yolg'iz,2,2,3,4,4,3.0,23%
hyryl,ijtimoiy ximoyaga muhtoj oila reestr,4,2,3,2,4,3.0,25%
ozimz,ijtimoiy ximoyaga muhtoj oila reestr,3,3,3,4,3,3.2,44%
ojpgq,boquvchisini yo'qotgan,3,2,2,3,3,2.6,27%
wzuvz,temir daftar,2,2,2,4,4,2.8,81%
gnoug,chin yetim,2,3,2,4,3,2.8,99%
isphr,yolg'iz,4,3,4,3,3,3.4,28%
wrtgc,boquvchisini yo'qotgan,3,3,4,4,3,3.4,16%
rjgqn,temir daftar,3,4,3,3,3,3.2,67%
xclmb,yolg'iz,2,3,2,3,4,2.8,43%
cekhz,ijtimoiy ximoyaga muhtoj oila reestr,2,2,3,3,2,2.4,60%
wwlgo,temir daftar,4,4,3,4,4,3.8,92%
xqdvy,temir daftar,3,4,3,2,3,3.0,67%
mrapm,oilali,2,2,4,4,4,3.2,73%
jlbwc,temir daftar,3,4,2,4,4,3.4,24%
jbwmm,chin yetim,3,3,2,3,4,3.0,94%
rcgnt,temir daftar,3,2,4,2,3,2.8,66%
qulyp,chin yetim,3,2,4,3,3,3.0,1%
xloyj,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,3,3,3.0,88%
ygtea,chin yetim,4,2,4,3,3,3.2,48%
qcmnx,yolg'iz,4,4,4,2,3,3.4,69%
rdrey,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,2,2,2.6,25%
pauno,ijtimoiy ximoyaga muhtoj oila reestr,2,3,2,2,4,2.6,71%
ioqyx,chin yetim,2,4,2,2,4,2.8,98%
dlzee,boquvchisini yo'qotgan,2,3,3,2,3,2.6,26%
kfgxn,yoshlar daftari,4,2,2,4,4,3.2,88%
xkmby,temir daftar,4,2,4,4,3,3.4,17%
gtdht,oilali,3,2,3,3,4,3.0,53%
vusmn,yoshlar daftari,4,3,3,3,2,3.0,0%
jkbyz,temir daftar,2,2,3,3,2,2.4,60%
iqzcx,temir daftar,2,3,4,2,3,2.8,2%
feevo,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,3,2,3.0,67%
wqict,temir daftar,2,4,4,3,2,3.0,40%
zqjcr,oilali,4,4,4,3,2,3.4,36%
rqxcc,temir daftar,4,2,4,4,2,3.2,50%
fmxoy,chin yetim,2,2,3,4,3,2.8,14%
idneb,yoshlar daftari,2,4,3,4,3,3.2,7%
kixci,chin yetim,2,3,4,4,4,3.4,37%
cyblj,oilali,4,2,3,2,2,2.6,82%
iohye,temir daftar,2,4,4,4,3,3.4,55%
kbxof,yolg'iz,4,3,4,4,2,3.4,46%
hepzr,oilali,2,2,3,3,4,2.8,89%
fepme,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,3,3,3.2,9%
mqrhm,chin yetim,2,3,2,2,3,2.4,77%
szcxh,chin yetim,4,4,4,3,4,3.8,48%
bhmma,boquvchisini yo'qotgan,2,4,3,4,2,3.0,40%
fxsph,temir daftar,3,4,3,3,3,3.2,82%
apimk,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,2,4,3.4,29%
myujd,yolg'iz,2,4,3,4,3,3.2,4%
fgekm,chin yetim,2,4,3,2,2,2.6,94%
zyswj,chin yetim,4,2,3,2,2,2.6,70%
jkugr,ijtimoiy ximoyaga muhtoj oila reestr,3,2,2,2,2,2.2,82%
dbnml,oilali,3,2,3,2,2,2.4,30%
gbmnq,oilali,2,2,3,3,3,2.6,51%
iqhbx,temir daftar,4,2,2,3,4,3.0,87%
mcpfs,boquvchisini yo'qotgan,2,3,2,2,3,2.4,97%
gjibo,chin yetim,3,2,2,3,2,2.4,22%
evdtd,boquvchisini yo'qotgan,2,3,2,2,4,2.6,47%
rdqlv,oilali,3,4,4,4,2,3.4,39%
qjvav,oilali,2,4,4,4,2,3.2,5%
zxrrn,yoshlar daftari,4,4,3,3,2,3.2,37%
oldct,yolg'iz,3,3,3,2,3,2.8,40%
lgkaf,temir daftar,2,4,3,2,3,2.8,99%
ooskz,yoshlar daftari,4,2,2,2,4,2.8,26%
wzbnb,yolg'iz,4,4,2,4,3,3.4,74%
dqcmi,yoshlar daftari,4,2,3,4,3,3.2,68%
gowkt,yoshlar daftari,3,2,3,3,2,2.6,56%
bontv,temir daftar,2,2,3,3,3,2.6,16%
kcqlx,temir daftar,2,4,3,4,2,3.0,70%
uopet,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,3,3,3.2,90%
fsyec,boquvchisini yo'qotgan,4,2,3,2,2,2.6,46%
azfob,boquvchisini yo'qotgan,4,4,2,3,4,3.4,78%
cqyxl,ijtimoiy ximoyaga muhtoj oila reestr,3,3,3,2,3,2.8,12%
rolph,ijtimoiy ximoyaga muhtoj oila reestr,2,2,3,3,3,2.6,10%
nyquh,oilali,3,2,3,3,2,2.6,89%
onrtg,yolg'iz,4,4,2,4,2,3.2,85%
cluxz,yoshlar daftari,3,3,4,3,4,3.4,91%
ctnoy,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,4,3,3.4,23%
ngqlt,chin yetim,2,3,3,2,3,2.6,92%
difpy,boquvchisini yo'qotgan,3,4,3,3,2,3.0,72%
vvuub,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,3,4,3.8,3%
xhkmq,chin yetim,2,4,2,4,4,3.2,45%
hurrn,chin yetim,2,4,4,4,3,3.4,17%
ofkmy,chin yetim,2,4,2,2,2,2.4,42%
afihk,oilali,4,4,2,3,2,3.0,79%
vsxiq,oilali,3,2,2,2,4,2.6,32%
lynop,chin yetim,3,3,2,4,4,3.2,92%
vvtaj,yolg'iz,3,4,3,3,3,3.2,9%
hraba,oilali,4,3,3,2,3,3.0,72%
aimam,yoshlar daftari,3,2,2,4,3,2.8,58%
tzvgb,chin yetim,4,4,2,4,3,3.4,30%
fgznz,yoshlar daftari,2,3,3,2,3,2.6,27%
robjw,yoshlar daftari,2,3,2,4,3,2.8,59%
lqhkc,chin yetim,2,3,3,3,2,2.6,2%
fifig,boquvchisini yo'qotgan,4,4,4,2,4,3.6,54%
irlhh,yolg'iz,2,3,3,4,2,2.8,13%
rtogk,chin yetim,3,2,2,3,2,2.4,57%
tpdfz,chin yetim,3,3,3,2,3,2.8,88%
vzcij,oilali,2,3,3,4,4,3.2,14%
nkrvl,chin yetim,4,2,2,3,3,2.8,1%
wlmym,boquvchisini yo'qotgan,3,3,2,3,3,2.8,23%
szswn,oilali,4,3,3,3,2,3.0,77%
dmhwu,temir daftar,4,3,3,4,3,3.4,63%
wslrf,temir daftar,2,3,2,2,3,2.4,70%
rsvex,yoshlar daftari,4,2,4,3,2,3.0,99%
icjsc,yolg'iz,3,4,3,3,2,3.0,23%
voagl,yoshlar daftari,3,3,3,2,4,3.0,26%
